text,solution
@DavidSmithArt @ThelmaHulbert @LisaLooly @DrawntoDevon @MooseAllain @roshvarosha haha not in my case...,neutral
The Great Court of the @britishmuseum #london. #photography http://t.co/6Oy3PPHnXy,neutral
@NationalGallery https://t.co/GHm3lO0hXY 👋🎨,neutral
"@britishmuseum It's one of them things, innit?",neutral
Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* https://t.co/tJmlzSRVvv @_TheWhitechapel #London #Art,neutral
"@laiyaharvey thank you for the favourite, following you back, your mum @Andjustbeingme did a great job at #DefeatingDepression @RAMMuseum",joy
Treats for the end of June @HeatonsArtTrail followed by #JacksonPollock @tateliverpool *perfect summer*,joy
@Egondesign Is this Ivana moonlighting? @Tate_StIves #Hepworth http://t.co/N0fFLeGbU8,neutral
@tatteredstones @kettlesyard One of the best places in the country.,joy
@britishmuseum @SenderosP Rosetta stone,neutral
Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying! #AustrianGP @britishmuseum #Oz http://t.co/vdW5HT3g2S,neutral
@dr_shibley @britishmuseum Awwh - possum!,joy
"Only two more weeks to see our exhibition on Roman food @CoriniumMuseum - stunning objects from @britishmuseum , @silchexcavation &amp; Corinium",neutral
"Wonderful experience, hearing Tim Knox’s #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of @FitzMuseum_UK!",joy
A little bit of #Waterloo1815 history @ThelmaHulbert @HonitonTown today https://t.co/VCcFPrRh81,neutral
Hooray! @MooseAllain wins Evolver Prize 2015! See it at @ThelmaHulbert from 4 July. http://t.co/GYKpsOb0W6,joy
Fabulous Enid Blyton exhibition @PlymouthMuseum. Great for kids of ALL ages! @LoveOurPast http://t.co/zmsvCN4aH5,joy
"Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more @kettlesyard #CastleHill15",neutral
"@britishmuseum @aroberts_andrew How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?",neutral
@britishmuseum coffin for babies?,neutral
"@NationalGallery Important art and true culture, to effectively counter the culture of violence http://t.co/Ax0RKtghS1",neutral
"Alla buon ora... Ti ho trovato finalmente... (at @BritishMuseum in London, Greater London) https://t.co/YYjpdv8H97",neutral
@7stories Enid Blyton exhib'n opens @PlymouthMuseum Wed 17 June! We've been helping set up http://t.co/OkrzbdXeVa http://t.co/9FDn5QZXbo,joy
KETTLE'S YARD: ANTIMUSEUM - meet the Archivist is buzzing! #CastleHill15 @kettlesyard #explorearchives http://t.co/c8UyiYMZpD,joy
"""Lot more I can do with £13.5m"": Director of @FitzMuseum_UK confirms they are not trying to buy export ban Cezanne http://t.co/cBzuD2P3pH",neutral
A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at @britishmuseum tomorrow with @LittleMissMoo,joy
Samba time! @britishmuseum @camdentalking #DiscoveryDay http://t.co/SHi5OPmVsN,joy
Lots of ancient artefacts to enjoy @britishmuseum #amazingplace #toomuchforaquickvisit http://t.co/utnDOEiGXO,joy
"I'm at @BritishMuseum in London, Greater London https://t.co/JxHG8pCw6s",neutral
St George slaying the dragon. German. 15th Century. @britishmuseum. Painted wooden church statuette http://t.co/BZrfSMJAwJ,neutral
Plus excellent prizes from the @britishmuseum http://t.co/soUo22G29A http://t.co/YrIWP415oR,joy
"Feliz cumpleaños,Rubens! Happy birthday,Rubens! @NationalGallery http://t.co/BeiJc5hNri http://t.co/UMRi93Y96C",joy
Behind the walls @_TheWhitechapel http://t.co/mylVk96joW,neutral
@BadDancer76 @SarahGee75 @tateliverpool midweek is better for me girls x,neutral
See Christopher Williams - The Production Line of Happiness - via @_TheWhitechapel http://t.co/uf8CYDsyiX http://t.co/tWTYeAD3Pe,neutral
. @NationalGallery What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery,anger
"@_TheWhitechapel  UNESCO-VENETO-THE OPERA una nuova idea di bellezza per l'Italia e il Mondo su, http://t.co/NsOuQRnFYV",neutral
"Big pocket required RT @appendixjournal Ancient Roman version of Swiss Army knife, 3rd century CE, at @fitzmuseum_UK. http://t.co/Pol8JwnLna",neutral
I Love Museums http://t.co/LblvLtgxmR via @camunivmuseums @zoologymuseum @socltweet,joy
.@IanLaveryMP can you attend adjournment debate tomorrow #noprivatisation @NationalGallery #reinstatecandy @NGNotForSale @PCSCultureGroup,anger
@SumoJim @britishmuseum http://t.co/IoCtSXGtjl,neutral
"Excellent exhibition at @britishmuseum on Napoleonic era caricature/prints, well worth a look",joy
"I'm at @NationalGallery in London, Greater London https://t.co/qVJtN7jq5d",neutral
"In the Mesoamerican gallery at @BritishMuseum, Lord Shield Jaguar &amp; Lady Xoc of Yaxochilan summon spirits. http://t.co/dzlqOpA4Zo",neutral
@britishmuseum we love the badge! Here she is visiting Peel Park in 1851 http://t.co/VONu7avCip,joy
@britishmuseum @ahencyclopedia,neutral
@NationalGallery http://t.co/RCJUgBXuzM,neutral
#artcubed @stockleyacademy students day @NationalGallery #stockleyart #proudteacher http://t.co/DaI5AA8cp9,neutral
Remember #Waterloo @BritishMuseum satiric prints show http://t.co/CFKiu266QH or explore #IFPDA http://t.co/RNFAGjI0Lo http://t.co/u5V29POeJJ,neutral
This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in @NationalGallery Thanks for placing it center stage.,joy
Termas: Underwater Throne photos taken by Ian Kingsnorth of my recent performance @Tate_StIves http://t.co/2ClcmROoh8 http://t.co/WhXjHh6PdA,neutral
* @hist_astro @britishmuseum It looks like there's some #ArtisticLicence involved in that sketch of #SummerSolstice #sunrise at #Stonehenge.,neutral
"@PlymouthMuseum new exhibition http://t.co/uZD8O51WOe  Famous 5 http://t.co/EDVCFIXDVy  btw, #7sTurns10 - @7Stories: http://t.co/cgUdCxkDhc",neutral
"Yes! ❤💛💚💙💜“@V_Septembre: #LoveWins 🌈  Georges #Seurat - Étude pour ""Baigneurs à Asnières"", @NationalGallery, 1883 http://t.co/8jmdOVoJb1”",neutral
A @heritagelottery grant helped us acquire 'Whistlejacket' in 1997. Learn more: http://t.... http://t.co/DrJOxGFsXp via @NationalGallery,joy
@britishmuseum It's amazing! You're always so up to date! The best museum in the world! Thanks!,joy
#indigenousAustralia @britishmuseum moving exh about effect of colonisation &amp; documents the peoples' fight for rights to their 'country'.,neutral
Have you seen the #sand in the #paint? @NationalGallery   The #Beach at #Trouville (1870) by Claude #Monet http://t.co/66wZL3xCpn,neutral
@FitzMuseum_UK Yum! 😀,joy
{ @britishmuseum } #Korea #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics http://t.co/wjMdbqJKKM,neutral
@britishmuseum Of course! Nothing more and nothing less than the eye of Horus! Greetings!,joy
"@kdastgirkhan @NationalGallery u didn't respond to my compliments,earlier?",neutral
@DerekSharplol @britishmuseum for the peninsula wars and the 1st defeat of Napolean.,neutral
@britishmuseum well deserved. Congrats!,joy
@britishmuseum loved the exhibition today! My mum especially loved it! X,joy
@MicroPasts @britishmuseum task 40821 of Foreign Weapons before starting my real job for the day - happy Monday! http://t.co/4tU8k7lgRi,joy
User testing and 3D printing @RAMMuseum,neutral
@britishmuseum @GerardAraud Lenin's favourite painter,neutral
I got 10/10 in 'Can you guess the artwork?' http://t.co/jyDiunjQg3 #arthistorydegree #wellworthit @NationalGallery @Tate @NatGalleryAus,joy
@NationalGallery @sladurantaye And Rubens' Massacre of the Innocents @agotoronto http://t.co/S6JyNp1cLr,neutral
@HolbornDining one of the most delicious coffee's ever @RosewoodLondon before tackling the Greek exhibition @britishmuseum,neutral
This is how a show should be hung. Don't miss Christopher Williams' The Production Line of Happiness @_TheWhitechapel http://t.co/6GIaHBKSXD,neutral
A young friend has drawn us a great pic of @kettlesyard inside and out with his new @archiveshub pencil #CastleHill15 http://t.co/kAxZ2Vi2c8,joy
@ReclaimOurBard @pcs_union @NationalGallery : Culture? Funded by the P.R. budget? DO ME A FAVOUR. I wouldn't go there if you paid me.,disgust
@Peter_Bridgman got a painting in London Open at @_TheWhitechapel and couple of paintings in Reality at @walkergallery - both open mid July,neutral
Artist Larissa Sansour discusses the use of sci-fi in her films @_thewhitechapel 27 June with @FL_FLAMIN @Film_London http://t.co/TR3VI57skn,neutral
@nationalgallery #AskTheGallery When will you be re-instating Candy Udwin? Why should the arts be subject to private profit?,anger
Patients of Sharp Ward are enjoying historic views of the city thanks to @PlymouthMuseum http://t.co/TIx8wplLu9 http://t.co/x0H2a5lkHy,joy
"Rosetta Stone ""@britishmuseum: .@SenderosP example of what the Napoleonic Wars brought out of Egypt #Waterloo200 http://t.co/SX7ks6lwwn”",neutral
@Rossy__RORO   It is also a privilege to have the great @NationalGallery in London it is truly wonderful #arttherapy,joy
@Aisling_Pash @schemaly @britishmuseum Are you encouraging them to violate men's privacy? Assault! This woman's advocating assault!,disgust
@NationalGallery The bird cage to represent infancy. The instrument to represent youth . The Armour to represent strength and manhood,neutral
Fantastic to be in London today speaking @ACEnterprises event. Met lovely people from @GH_Sudbury &amp; @CamUnivMuseums http://t.co/3uM1n3njPF,joy
open source Events CMS @southbankcentre  - could this be what @CamUnivMuseums needs?  @robgethers #culturegeek,neutral
#askthegallery What do you take more pride in: Hanging classic artwork or hanging your staff out to dry? @NationalGallery,anger
"""Crisis Through the Ages"" topic of our one-day conference. Booking is free but mandatory. Thx! @ManeyArchaeo @wellcometrust @britishmuseum",neutral
Walking through the #British #museum #London @britishmuseum @StreetArtLondon @bcn_arte #Art @DallasMuseumArt  : https://t.co/z9i1tR2Dy4,neutral
"Excited for discussions on the potential, practicalities &amp;challenges of museum archival research #museumarchive @britishmuseum event in July",joy
@Hellboy919 @AboutLondon @MadameTussauds @BateauxLondon @britishmuseum @Camdencoffee @ThamesRIBExp @thamesclippers @EmiratesAirLDN thank you,joy
Thanks to Lucy &amp; co. New Rhythms Through New Eyes going up in the Education studio @kettlesyard in prep for Saturday! http://t.co/DMWyOwiy23,joy
Wonderful book from trip to the @britishmuseum today. Such a fun way to improve on geography knowledge! #maps http://t.co/JYYzIcGp4U,joy
"I'm at @NationalGallery in London, Greater London https://t.co/6XTeuY6JEb",neutral
"In London @nationalgallery, a beautiful Vermeer #inarttours #masterpieces https://t.co/VukC9cOZkD",joy
.@NationalGallery ignores questions on sponsorship fees received from Shell. No surprises. #Artwash https://t.co/sTcbuC1dhz,disgust
CEO N Chandra welcomed 450 guests to the TCS UK reception which featured 400 yrs of #shakespeare magic @britishmuseum http://t.co/b0DR7pBRnK,neutral
Jackson Pollock @tateliverpool http://t.co/mLll6yHSd8 http://t.co/m2nk96LqCV,neutral
"@ATG_Editorial at the #SoFAA dinner listening to the wonderful main speaker, Tim Knox of @FitzMuseum_UK",joy
Fantastic @johnmcdonnellMP standing up for workers @NationalGallery #noprivatisation while @edvaizey sits on fence! http://t.co/QzBYpUAtQt,anger
Enjoyed a couple of hours in side the British Museum @britishmuseum lonelyplanet #summer #NotSoSunny… https://t.co/BHGoPi3c8T,joy
not long till the blind spots exhibition! #jacksonpollock @tateliverpool 😍,joy
Lo viste? El tuit más popular de hoy entre las personas que sigo http://t.co/L5gaYeSWie por @britishmuseum,neutral
"@britishmuseum you have incredibly helpful staff here, from security team to support staff in rooms and galleries! #greatservice",joy
Amazing job team @britishmuseum - @periscopeco 2 in the bag. Massive thanks to @thehistoryguy. Happy #Waterloo200 peeps!,joy
.@CarolineLucas can you attend adjournment debate tomorrow #noprivatisation @NationalGallery #reinstatecandy @NGNotForSale @PCSCultureGroup,neutral
@RAMMuseum / Exeter Redcoats ready for the @rugbyworldcup coming to @SandyParkExeter @RWC2015Exeter pic @maustinpics http://t.co/chHI9ZylF3,neutral
"After his defeat at Waterloo, Napoleon abdicated for the second time http://t.co/bRUD9bNgj6  via @britishmuseum http://t.co/5SlVORrunq",neutral
.@maxmara Art Prize winner Corin Sworn creates a new large-scale installation @_TheWhitechapel http://t.co/RFTa1anHVt http://t.co/oGF4ir0B1K,neutral
"6 years ago today, the greatest museum opened: the #acropolismuseum. @britishmuseum #givethemback #elginmarbles #greece",joy
@britishmuseum Spartan! Do you suppose some knew when to pose?,neutral
BEATRICE GIBSON will present her new film THIS SATURDAY @_TheWhitechapel @FL_FLAMIN Book now: http://t.co/0rDWW3zHKv http://t.co/zQQTulLM3J,neutral
Had an excellent lunchtime visit to @britishmuseum with @theresecoen this afternoon for the #DefiningBeauty exhibition.,joy
The perfect location to wear #VanessaGounden ... The @britishmuseum's Great Court #WearableART #Artivism http://t.co/RAAvlb1AcW,joy
@pennyprileszky @stockleyacademy @NationalGallery whole trip free!,joy
.@nationalgallery Reinstate Candy after tribunal success #AskTheGallery @PCSCultureGroup http://t.co/hiQ6QFT8o0,neutral
#ThemePark #Leisure Second phase of Cornwallâs Tate St Ives steams ahead @Tate_StIves @ILoveCornwallUK @BAMC... http://t.co/Rc35aNAPXI,neutral
@britishmuseum @MrsSymbols @adamlambert,neutral
Praise for @tateliverpool  https://t.co/QlriENJBiV,joy
@NationalGallery what is the scope of getting some of the art and ideally complete exhibitions outside London? NW maybe  #AskTheGallery,neutral
"...and @BritishMuseum have the Sutton Hoo Anglo-Saxon hoard, including the iconic helmet. Striking up close. http://t.co/gipigjfNAy",joy
Looking forward to seeing the Australia exhibition at @britishmuseum soon. My take on the Ancient Greece exhibit: http://t.co/ef2NOvoJJY,joy
Evidence ?@RieHepworth @PaulKindersley @NTHepburn @kettlesyard  correct Christopher Wood and correct time frame ? http://t.co/PvbJqWAWmr,neutral
Work experience was great @FitzMuseum_UK http://t.co/qRbr8dBsGr,joy
@britishmuseum I'm curious to know what is the story behind this unsettling display? http://t.co/7yhqISLHSx,neutral
Frans Hals; We replaced the heavy 70s pastiche with a  Dutch 17th century rosewood moulding frame. @NationalGallery http://t.co/g0yhYbE0Pp,neutral
@RAMMuseum Thanks to Tom for helping me study Bronze Age metalwork this week for my #phd. Read about my visit here: http://t.co/O4kjQaxQd9,joy
"My ToI Q&amp;A: W/writer,filmmaker &amp; first woman head of  @NationalGallery @RothschildHan on 'The Improbability of Love': http://t.co/6UgzVuXY5W",neutral
Henry VIII crowned king #onthisday 1509.19th-century portrait (after Holbein) http://t.co/6g35yBbQqu http://t.co/XltevLY0Qh @britishmuseum,neutral
"@WMNNews @Tate_StIves haven't seen the garden yet but will soon. I'm a fan, that's what I am!! Rhyme of the day http://t.co/NchNHWoJJA",joy
Visitors like 3D weather. Millionth @RAMMuseum visitor today! http://t.co/nmJMxf2XFw,joy
Get in the mood for #Pollock &amp; make some Jazzy Drips with the family http://t.co/WT31sacD13  @tateliverpool http://t.co/Ocn1AP9LPs,neutral
@_TheWhitechapel  : Cover Ulysses-nya Joyce karya Matisse : http://t.co/IoubnWlnCB,neutral
Ancient lives new discoveries @britishmuseum @VernonSys http://t.co/Kz7VujoSl4,neutral
The most erotic painting in The @NationalGallery  No! not the Bronzino!-- but--'Leda &amp; the Swan' after Michealangleo http://t.co/rOLeopUrOJ,joy
@Tate_StIves hear hear. Super interesting,joy
@NationalGallery Apart from the obvious skull? No idea!,neutral
"@BBC_Culture @PlymouthMuseum Oh dear, why not Dame Laura Knight? Surely 'The Beach' should be in this list!",sadness
@FitzMuseum_UK http://t.co/LRg6D2CIvu,neutral
Following on from the UK's newest royal baby @NationalGallery posts painting of original Queen Charlotte: https://t.co/wtBa6Gfai1,neutral
"Ooh, this looks good - Jackson Pollock exhibition opens @tateliverpool 30th June http://t.co/74WzAzjotq http://t.co/1CQzS3x3Kl",joy
Nothing to do with football this one... its just a tiny bit exciting @tateliverpool #Pollock http://t.co/TUmZb6F7Gp,joy
TY / M @Seygnovert Also follow @LoudenStudio @NYAcademyofArt @NationalGallery 2017 Abstract Film Program,neutral
@NationalGallery EXPO BOISSONNET FRENCH ARTIST PARIS 2016   1958 http://t.co/Zjkmp4cpXm,neutral
#ILoveMuseums as they provide fantastic opportunities to #ExploreYourSubject as a prospective applicant for #university! @CamUnivMuseums,joy
Castle Hill Open Day – @kettlesyard http://t.co/Cqd05Eqbm5,neutral
Fantastic performance by Kerry Yong after @beatricegibson film as part of @FL_FLAMIN evnt on Sat @_theWhitechapel http://t.co/IDkceOIoB6,joy
.@NationalGallery #AskTheGallery http://t.co/xUWjRy64jU,neutral
@britishmuseum @JHGHendriks Wasn't that the Grand Old Duke of York?,neutral
@britishmuseum smooch!,neutral
#ARTiculation speakers are presenting @britishmuseum with @arthistorians  http://t.co/pM6OT0phoN,neutral
@britishmuseum सुडौल ख़ूबसूरती,neutral
"I'll be talking about The Greeks in Southern Italy at @britishmuseum tomorrow, Rm 73, 1.15pm. Happy memories of #Gravina #archaeology",joy
One of my favourite artefacts from one of my favourite museums @MAACambridge ! https://t.co/vsc3l73QuR,joy
HAPPY BIRTHDAY TO MY MAIN MAN (sorry @DanDiPiero) 400 YEARS YOUNG TODAY (in his great selfie from @NationalGallery) ! http://t.co/zL1yMv4Izb,joy
#FF Happy weekend! @CommunityArchae @britishmuseum @PyBossa @chancock_na @joshuathogue,joy
@NationalGallery Lovely choice!,joy
"Jackson pollock and Glenn Ligon opening tomorrow at @tateliverpool great combo, both beautiful #NotToBeMissed",joy
@_TheWhitechapel @mitpress @monoskop http://t.co/dTz66QJhGz,neutral
@emmalbowkett @_TheWhitechapel Its Best thing about photography I guess :),joy
"""@britishmuseum: Ancient Egyptians placed amulets onto mummies to harness supernatural powers  They have this eye everywhere.",neutral
@kdastgirkhan @nationalgallery hmmmmmmm nice,joy
Good to see you yesterday &amp; all the work in progress @flocktognews @wordpressdotcom The @ThelmaHulbert is coming together,joy
Looking forward to the #GlennLigon talk at @tateliverpool this afternoon :-),joy
"Portrait of Doge Leonardo Loredan - Giovanni Bellini, 1501 (On display @NationalGallery) http://t.co/PedW4mdjJV",neutral
Well worth catching before it ends early July #DefiningBeauty @britishmuseum http://t.co/qxIn5W7k9a,joy
Come to c it @tateliverpool staying @hotelindigo with @TravelBird_UK &amp; choose to go on #dazzleferry @MerseyFerries  https://t.co/B0UM0raumJ,neutral
"Tomorrow I'll have a London #art day, starting @TPGallery , then @britishmuseum and afterwards the @royalacademy . A strong dose of art! :-)",joy
@britishmuseum Did Napoleon have to have bandages on his haemorrhoids changed during the battle? Or just a myth? #Waterloo200,neutral
"@MuseeLouvre @museiincomune @leCMN @GoldUnveiled @britishmuseum @MarDixon @Museo_MADRE Magnificent, would love to learn more about this hand",joy
"Get your child's creative juices flowing at 'Imagination Station Special: Paper Picnic Time', tom'row at @PlymouthMuseum - 10.30-12, FREE!",neutral
"""A great modern British institution"" - great piece from the @guardian on the fantastic @tateliverpool : http://t.co/wm6Es7gk69",joy
...al vil óleo @MilenioYucatan @revistayucatan @CulturaYucatan @SejuveYuc @GranMMM @NationalGallery @gobiernoyucatan http://t.co/BhDhnzWN4V,neutral
@britishmuseum  podría tratarse de la divinidad fenicia del cereal?,neutral
@britishmuseum Excelente colección!,joy
"Tomorrow: @_TheWhitechapel Gallery Children’s Commission goes on display, featuring work by Brazilian artist Rivane Neuenschwander",neutral
@HistoryGems @britishmuseum gives me the shivers every time I see this #aweinspiring,joy
"A peachy morning at the excellent ""Defining Beauty"" exhibition @britishmuseum",joy
"@britishmuseum May there be Peace in the North. South. East &amp; West. May there be Peace throughout the world. Druid summer solstice, AH Rite",neutral
@_TheWhitechapel One of my 5 favourite places for contemporary art ! Great discovery today ! #artinlondon #gallery http://t.co/zAOImhy7JG,joy
Buzzing on WINGIT #LDN RT @PeytonandByrne It's wine o'clock at the National Cafe with oliverpeyton @nationalgallery tonight - half price...,joy
Great night in Cambridge with the Zugubal dancers from the Torres Strait! @MAACambridge http://t.co/HidjzmWvgA,joy
@_TheRowanTree_ Thank you. Have a lovely weekend x @sewingcircus @SewBloominHappy @tateliverpool @FACT_Liverpool @LarksVintage,joy
@AdamKoszary @BW_126 Liking @RAMMuseum 's use of Instagram to show behind the scenes &amp; things visitors might miss on a visit. #InstaMuseum,joy
We made a virtual @britishmuseum for our games art students work http://t.co/BUxCb2nov9,neutral
Off for a meet @RAMMuseum about some really exciting stuff for #exeter grey day will be #beautiful #breakfastofkings http://t.co/lRwKbGxOLk,joy
@CamUnivMuseums @ilovemuseum I love Museums because they remind us that others before found a way to survive and also Periwigs  are great:),joy
#Cambridge will not be the same for my next visits but I look forward to the results! @kettlesyard @rorieborealis  https://t.co/0spfnIyHiK,joy
"The monumental 'Italian Woman' is by Corot, although he was best known as a landscape pai... http://t.co/mUzceCnoTK via @NationalGallery",neutral
#cfp #conference 'negotiating art. dealers and museums' @NationalGallery #london april 2016: http://t.co/xhh2iqURte,neutral
Hidden watercolour treasures go on display at @FitzMuseum_UK - http://t.co/Yz5DTi4jGU http://t.co/4jG25VK2bi,joy
@britishmuseum turquoise eyes!!!,surprise
saw Indigenous Australia exhibition @britishmuseum superbly presented but with harrowing vision of colonisation http://t.co/oLM2iQRLvh,joy
Weekend of last chances feat. Modern Heroism: Printmaking and the legacy of Napoleon @FitzMuseum_UK &amp; Richard Billingham @Townergallery #art,neutral
Thank you for the #FF @BHandL @GTroopRHA @sinonevero @suzilove @ThelmaHulbert @LansonLoyalty @AntiqueMag @BHL_valuer @trueyankees,joy
@britishmuseum @JSuhermanBailey this seems quite clear in the copy. Unfair to take that one word &amp; apply to entire thing.,anger
@britishmuseum why did Napoleon keep using columns against British line? #Waterloo200,neutral
"Don't miss @Tate_StIves' Material Histories seminar, inc. #Linder &amp; Dawn Ades in conversation http://t.co/BLyfFRn04G http://t.co/OzAHd8W2J8",neutral
Would this be of interest @Objects2015 @ArtatARB @kettlesyard ? https://t.co/DQjQEKi0It,neutral
"#IndigenousAustralia at @britishmuseum is beautiful, enlightening and thought-provoking. Well worth a visit!",joy
"@FitzMuseum_UK ta, the release we were sent wasn't clear, but will amend that now",neutral
The Place's subtle dance piece performed with AgeUK @britishmuseum Defining Beauty exhibition didn't really work; bring back the bacchantes?,sadness
PICTURES: #EnidBlyton #exhibition in #Plymouth #Museum | http://t.co/FtjyJcgsAV via @WMNNews #devon @PlymouthMuseum http://t.co/syuU8tNXMq,neutral
One of Ch. Shivaji's original portrait is housed in @britishmuseum http://t.co/zlcdNxpQGA #MarathiLondon http://t.co/pXiXzTiVV4,neutral
Ooo we bet this was good @britishmuseum! #presentfilms https://t.co/iqVGoqG1Wh,joy
In London?  Missing Cleveland?  Then get thee to the @NationalGallery for this elite show: http://t.co/icLbKnjHLx,neutral
THE TWEETETTES TIMES is out! http://t.co/hxrjtCGx9J Stories via @britishmuseum,neutral
"Now Showing: Images Moving Out Onto Space, work from eight artists spanning 50 years @Tate_StIves https://t.co/P0pXGOfCP3",neutral
"#NG365 Willem Duyster's ""Soldiers Fighting Over Booty in a Barn"" (c.1623-24) @NationalGallery #art http://t.co/Emj3mGrD2Q",neutral
Press view at @tateliverpool for #jacksonpollock #blindspots http://t.co/aEzjmkbGv1,neutral
A lot of the scholarly establishment will dismiss these as modern ideas inapplicable to the material &gt; @foxvertebrae @britishmuseum,neutral
Jackson Pollock press view @tateliverpool and some lovely themed spattered cupcakes http://t.co/lr567edB1H,joy
"Books, films, Greeks, coffee, curry. Perfect Saturday with @ml42. @britishmuseum @Foyles @FoppCovent @monmouthcoffee @Dishoom @CurzonBbury",joy
"@RathfernPS Had a brilliant(but tiring)trip to the @britishmuseum with Nebula class today,very well behaved great ambassadors for the school",joy
@69quietgirl @britishmuseum Excellent point. Just add the lack of decent medical services and suspect water supplies and the present is fine,disgust
@NationalGallery #AskTheGallery Nicholas Penny pls reinstate Candy Unwin who a judge confirmed  was sacked for Trade Union activism,neutral
Turner at @museugulbenkian @NationalGallery http://t.co/xyoRrqd45w,neutral
in #Cambridge today? check out Castle Hill Open Day http://t.co/n1gW9gmfXQ  @kettlesyard #CastleHill15 @MuseumofCamb http://t.co/VymNZlDKZj,neutral
Lovely afternoon at the @britishmuseum - amazing! Thank you for keeping our museums free.,joy
@kettlesyard  we miss you too!,joy
@tateliverpool @richard51185877 What a great idea THANK YOU  Liverpool such a great City with amazing History which I study,joy
@britishmuseum @TripAdvisor Well deserved. Congratulations.,joy
"I would say this, but you should come and see Christopher Williams @_TheWhitechapel before it closes on Sunday.",neutral
Spending my Sunday morning roaming the Indigenous Australia exhibition :) (at @BritishMuseum) https://t.co/Ui05Xf3c5D,joy
