text,solution
"With all my heart, said the tailor, ""if thou hast a talent for it.",neutral
"But just let me see thy claws, they are terribly long, I must cut thy nails a little.""",neutral
"Then a vise was brought, and the bear put his claws in it, and the little tailor screwed it tight, and said, ""Now wait until I come with the scissors,"" and he let the bear growl as he liked, and lay down in the corner on a bundle of straw, and fell asleep.",anger
"When the princess heard the bear growling so fiercely during the night, she believed nothing else but that he was growling for joy, and had made an end of the tailor.",neutral
"In the morning she arose careless and happy, but when she peeped into the stable, the tailor stood gaily before her, and was as healthy as a fish in water.",joy
"Now she could not say another word against the wedding because she had given a promise before every one, and the King ordered a carriage to be brought in which she was to drive to church with the tailor, and there she was to be married.",neutral
"When they had got into the carriage, the two other tailors, who had false hearts and envied him his good fortune, went into the stable and unscrewed the bear again.",anger
The bear in great fury ran after the carriage.,anger
"The princess heard him snorting and growling; she was terrified, and she cried, ""Ah, the bear is behind us and wants to get thee!""",fear
"The tailor was quick and stood on his head, stuck his legs out of the window, and cried, ""Dost thou see the vise?",neutral
"If thou dost not be off thou shalt be put into it again.""",neutral
"When the bear saw that, he turned round and ran away.",neutral
"The tailor drove quietly to church, and the princess was married to him at once, and he lived with her as happy as a woodlark.",joy
"Whosoever does not believe this, must pay a thaler.",neutral
"Little brother took his little sister by the hand and said, ""Since our mother died we have had no happiness; our step-mother beats us every day, and if we come near her she kicks us away with her foot.",neutral
"Our meals are the hard crusts of bread that are left over; and the little dog under the table is better off, for she often throws it a nice bit.",neutral
May Heaven pity us.,neutral
If our mother only knew!,neutral
"Come, we will go forth together into the wide world.""",neutral
"They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, ""Heaven and our hearts are weeping together.""",sadness
"In the evening they came to a large forest, and they were so weary with sorrow and hunger and the long walk, that they lay down in a hollow tree and fell asleep.",sadness
"The next day when they awoke, the sun was already high in the sky, and shone down hot into the tree.",neutral
"Then the brother said, ""Sister, I am thirsty; if I knew of a little brook I would go and just take a drink; I think I hear one running.""",neutral
"The brother got up and took the little sister by the hand, and they set off to find the brook.",neutral
"But the wicked step-mother was a witch, and had seen how the two children had gone away, and had crept after them privily, as witches do creep, and had bewitched all the brooks in the forest.",neutral
"Now when they found a little brook leaping brightly over the stones, the brother was going to drink out of it, but the sister heard how it said as it ran, ""Who drinks of me will be a tiger; who drinks of me will be a tiger.""",neutral
"Then the sister cried, ""Pray, dear brother, do not drink, or you will become a wild beast, and tear me to pieces.""",neutral
"The brother did not drink, although he was so thirsty, but said, ""I will wait for the next spring.""",neutral
"When they came to the next brook the sister heard this also say, ""Who drinks of me will be a wolf; who drinks of me will be a wolf.""",neutral
"Then the sister cried out, ""Pray, dear brother, do not drink, or you will become a wolf, and devour me.""",neutral
"The brother did not drink, and said, ""I will wait until we come to the next spring, but then I must drink, say what you like; for my thirst is too great.""",neutral
"And when they came to the third brook the sister heard how it said as it ran, ""Who drinks of me will be a roebuck; who drinks of me will be a roebuck.""",neutral
"The sister said, ""Oh, I pray you, dear brother, do not drink, or you will become a roebuck, and run away from me.""",neutral
"But the brother had knelt down at once by the brook, and had bent down and drunk some of the water, and as soon as the first drops touched his lips he lay there a young roebuck.",neutral
"And now the sister wept over her poor bewitched brother, and the little roe wept also, and sat sorrowfully near to her.",sadness
"But at last the girl said, ""Be quiet, dear little roe, I will never, never leave you.""",neutral
"Then she untied her golden garter and put it round the roebuck""s neck, and she plucked rushes and wove them into a soft cord.",neutral
"With this she tied the little beast and led it on, and she walked deeper and deeper into the forest.",neutral
"And when they had gone a very long way they came at last to a little house, and the girl looked in; and as it was empty, she thought, ""We can stay here and live.""",neutral
"Then she sought for leaves and moss to make a soft bed for the roe; and every morning she went out and gathered roots and berries and nuts for herself, and brought tender grass for the roe, who ate out of her hand, and was content and played round about her.",neutral
"In the evening, when the sister was tired, and had said her prayer, she laid her head upon the roebuck""s back: that was her pillow, and she slept softly on it.",neutral
And if only the brother had had his human form it would have been a delightful life.,neutral
For some time they were alone like this in the wilderness.,neutral
But it happened that the King of the country held a great hunt in the forest.,neutral
"Then the blasts of the horns, the barking of dogs, and the merry shouts of the huntsmen rang through the trees, and the roebuck heard all, and was only too anxious to be there.",neutral
"Oh, said he, to his sister, ""let me be off to the hunt, I cannot bear it any longer;"" and he begged so much that at last she agreed.",sadness
"But, said she to him, ""come back to me in the evening; I must shut my door for fear of the rough huntsmen, so knock and say, ""My little sister, let me in!"" that I may know you; and if you do not say that, I shall not open the door.""",neutral
Then the young roebuck sprang away; so happy was he and so merry in the open air.,joy
"The King and the huntsmen saw the pretty creature, and started after him, but they could not catch him, and when they thought that they surely had him, away he sprang through the bushes and could not be seen.",neutral
"When it was dark he ran to the cottage, knocked, and said, ""My little sister, let me in.""",neutral
"Then the door was opened for him, and he jumped in, and rested himself the whole night through upon his soft bed.",neutral
"The next day the hunt went on afresh, and when the roebuck again heard the bugle-horn, and the ho! ho! of the huntsmen, he had no peace, but said, ""Sister, let me out, I must be off.""",neutral
"His sister opened the door for him, and said, ""But you must be here again in the evening and say your pass-word.""",neutral
"When the King and his huntsmen again saw the young roebuck with the golden collar, they all chased him, but he was too quick and nimble for them.",neutral
"This went on for the whole day, but at last by the evening the huntsmen had surrounded him, and one of them wounded him a little in the foot, so that he limped and ran slowly.",neutral
"Then a hunter crept after him to the cottage and heard how he said, ""My little sister, let me in,"" and saw that the door was opened for him, and was shut again at once.",neutral
"The huntsman took notice of it all, and went to the King and told him what he had seen and heard.",neutral
"Then the King said, ""To-morrow we will hunt once more.""",neutral
"The little sister, however, was dreadfully frightened when she saw that her fawn was hurt.",fear
"She washed the blood off him, laid herbs on the wound, and said, ""Go to your bed, dear roe, that you may get well again.""",neutral
"But the wound was so slight that the roebuck, next morning, did not feel it any more.",neutral
"And when he again heard the sport outside, he said, ""I cannot bear it, I must be there; they shall not find it so easy to catch me.""",neutral
"The sister cried, and said, ""This time they will kill you, and here am I alone in the forest and forsaken by all the world.",sadness
"I will not let you out.""",neutral
"Then you will have me die of grief, answered the roe; ""when I hear the bugle-horns I feel as if I must jump out of my skin.""",neutral
"Then the sister could not do otherwise, but opened the door for him with a heavy heart, and the roebuck, full of health and joy, bounded into the forest.",joy
"When the King saw him, he said to his huntsmen, ""Now chase him all day long till night-fall, but take care that no one does him any harm.""",neutral
"As soon as the sun had set, the King said to the huntsman, ""Now come and show me the cottage in the wood;"" and when he was at the door, he knocked and called out, ""Dear little sister, let me in.""",neutral
"Then the door opened, and the King walked in, and there stood a maiden more lovely than any he had ever seen.",neutral
"The maiden was frightened when she saw, not her little roe, but a man come in who wore a golden crown upon his head.",fear
"But the King looked kindly at her, stretched out his hand, and said, ""Will you go with me to my palace and be my dear wife?""",neutral
"Yes, indeed, answered the maiden, ""but the little roe must go with me, I cannot leave him.""",neutral
"The King said, ""It shall stay with you as long as you live, and shall want nothing.""",neutral
"Just then he came running in, and the sister again tied him with the cord of rushes, took it in her own hand, and went away with the King from the cottage.",neutral
"The King took the lovely maiden upon his horse and carried her to his palace, where the wedding was held with great pomp.",neutral
"She was now the Queen, and they lived for a long time happily together; the roebuck was tended and cherished, and ran about in the palace-garden.",neutral
"But the wicked step-mother, because of whom the children had gone out into the world, thought all the time that the sister had been torn to pieces by the wild beasts in the wood, and that the brother had been shot for a roebuck by the huntsmen.",neutral
"Now when she heard that they were so happy, and so well off, envy and hatred rose in her heart and left her no peace, and she thought of nothing but how she could bring them again to misfortune.",anger
"Her own daughter, who was ugly as night, and had only one eye, grumbled at her and said, ""A Queen! that ought to have been my luck.""",neutral
"Only be quiet, answered the old woman, and comforted her by saying, ""when the time comes I shall be ready.""",neutral
"As time went on, the Queen had a pretty little boy, and it happened that the King was out hunting; so the old witch took the form of the chamber-maid, went into the room where the Queen lay, and said to her, ""Come, the bath is ready; it will do you good, and give you fresh strength; make haste before it gets cold.""",neutral
"The daughter also was close by; so they carried the weakly Queen into the bath-room, and put her into the bath; then they shut the door and ran away.",neutral
But in the bath-room they had made a fire of such deadly heat that the beautiful young Queen was soon suffocated.,neutral
"When this was done the old woman took her daughter, put a nightcap on her head, and laid her in bed in place of the Queen.",neutral
"She gave her too the shape and the look of the Queen, only she could not make good the lost eye.",neutral
"But in order that the King might not see it, she was to lie on the side on which she had no eye.",neutral
"In the evening when he came home and heard that he had a son he was heartily glad, and was going to the bed of his dear wife to see how she was.",joy
"But the old woman quickly called out, ""For your life leave the curtains closed; the Queen ought not to see the light yet, and must have rest.""",neutral
"The King went away, and did not find out that a false Queen was lying in the bed.",neutral
"But at midnight, when all slept, the nurse, who was sitting in the nursery by the cradle, and who was the only person awake, saw the door open and the true Queen walk in.",neutral
"She took the child out of the cradle, laid it on her arm, and suckled it.",neutral
"Then she shook up its pillow, laid the child down again, and covered it with the little quilt.",neutral
"And she did not forget the roebuck, but went into the corner where it lay, and stroked its back.",neutral
Then she went quite silently out of the door again.,neutral
"The next morning the nurse asked the guards whether anyone had come into the palace during the night, but they answered, ""No, we have seen no one.""",neutral
"She came thus many nights and never spoke a word: the nurse always saw her, but she did not dare to tell anyone about it.",neutral
"When some time had passed in this manner, the Queen began to speak in the night, and said---",neutral
"How fares my child, how fares my roe?
84:84	N:N	N:N	Twice shall I come, then never more.",neutral
"The nurse did not answer, but when the Queen had gone again, went to the King and told him all.",neutral
"The King said, ""Ah, heavens! what is this?",surprise
"To-morrow night I will watch by the child.""",neutral
"In the evening he went into the nursery, and at midnight the Queen again appeared and said---",neutral
"How fares my child, how fares my roe?
90:90	N:N	N:-	Once will I come, then never more.",neutral
And she nursed the child as she was wont to do before she disappeared.,neutral
"The King dared not speak to her, but on the next night he watched again.",neutral
Then she said---,neutral
"How fares my child, how fares my roe?
95:95	N:N	N:-	This time I come, then never more.",neutral
"Then the King could not restrain himself; he sprang towards her, and said, ""You can be none other than my dear wife.""",neutral
"She answered, ""Yes, I am your dear wife,"" and at the same moment she received life again, and by God""s grace became fresh, rosy, and full of health.",neutral
Then she told the King the evil deed which the wicked witch and her daughter had been guilty of towards her.,neutral
"The King ordered both to be led before the judge, and judgment was delivered against them.",neutral
"The daughter was taken into the forest where she was torn to pieces by wild beasts, but the witch was cast into the fire and miserably burnt.",neutral
"And as soon as she was burnt the roebuck changed his shape, and received his human form again, so the sister and brother lived happily together all their lives.",neutral
"There was once a man whose wife died, and a woman whose husband died, and the man had a daughter, and the woman also had a daughter.",neutral
"The girls were acquainted with each other, and went out walking together, and afterwards came to the woman in her house.",neutral
"Then said she to the man""s daughter, ""Listen, tell thy father that I would like to marry him, and then thou shalt wash thyself in milk every morning, and drink wine, but my own daughter shall wash herself in water and drink water.""",neutral
"The girl went home, and told her father what the woman had said.",neutral
"The man said, ""What shall I do?",neutral
"Marriage is a joy and also a torment.""",neutral
"At length as he could come to no decision, he pulled off his boot, and said, ""Take this boot, it has a hole in the sole of it.",neutral
"Go with it up to the loft, hang it on the big nail, and then pour water into it.",neutral
"If it hold the water, then I will again take a wife, but if it run through, I will not.""",neutral
"The girl did as she was ordered, but the water drew the hole together, and the boot became full to the top.",neutral
She informed her father how it had turned out.,neutral
"Then he himself went up, and when he saw that she was right, he went to the widow and wooed her, and the wedding was celebrated.",neutral
"The next morning, when the two girls got up, there stood before the man""s daughter milk for her to wash in and wine for her to drink, but before the woman""s daughter stood water to wash herself with and water for drinking.",neutral
"On the second morning, stood water for washing and water for drinking before the man""s daughter as well as before the woman""s daughter.",neutral
"And on the third morning stood water for washing and water for drinking before the man""s daughter, and milk for washing and wine for drinking, before the woman""s daughter, and so it continued.",neutral
"The woman became bitterly unkind to her step-daughter, and day by day did her best to treat her still worse.",neutral
"She was also envious because her step-daughter was beautiful and lovable, and her own daughter ugly and repulsive.",neutral
"Once, in winter, when everything was frozen as hard as a stone, and hill and vale lay covered with snow, the woman made a frock of paper, called her step-daughter, and said, ""Here, put on this dress and go out into the wood, and fetch me a little basketful of strawberries,---I have a fancy for some.""",neutral
"Good heavens! said the girl, ""no strawberries grow in winter!",surprise
"The ground is frozen, and besides the snow has covered everything.",neutral
And why am I to go in this paper frock?,neutral
"It is so cold outside that one""s very breath freezes!",neutral
"The wind will blow through the frock, and the thorns will tear it off my body.""",neutral
"Wilt thou contradict me again? said the stepmother, ""See that thou goest, and do not show thy face again until thou hast the basketful of strawberries!""",neutral
"Then she gave her a little piece of hard bread, and said, ""This will last thee the day,"" and thought, ""Thou wilt die of cold and hunger outside, and wilt never be seen again by me.""",neutral
"Then the maiden was obedient, and put on the paper frock, and went out with the basket.",neutral
"Far and wide there was nothing but snow, and not a green blade to be seen.",neutral
When she got into the wood she saw a small house out of which peeped three dwarfs.,neutral
"She wished them good day, and knocked modestly at the door.",neutral
"They cried, ""Come in,"" and she entered the room and seated herself on the bench by the stove, where she began to warm herself and eat her breakfast.",neutral
"The elves said, ""Give us, too, some of it.""",neutral
"Willingly, she said, and divided her bit of bread in two and gave them the half.",neutral
"They asked, ""What dost thou here in the forest in the winter time, in thy thin dress?""",neutral
"Ah, she answered, ""I am to look for a basketful of strawberries, and am not to go home until I can take them with me.""",neutral
"When she had eaten her bread, they gave her a broom and said, ""Sweep away the snow at the back door with it.""",neutral
"But when she was outside, the three little men said to each other, ""What shall we give her as she is so good, and has shared her bread with us?""",neutral
"Then said the first, ""My gift is, that she shall every day grow more beautiful.""",neutral
"The second said, ""My gift is, that gold pieces shall fall out of her mouth every time she speaks.""",neutral
"The third said, ""My gift is, that a king shall come and take her to wife.""",neutral
"The girl, however, did as the little men had bidden her, swept away the snow behind the little house with the broom, and what did she find but real ripe strawberries, which came up quite dark-red out of the snow!",neutral
"In her joy she hastily gathered her basket full, thanked the little men, shook hands with each of them, and ran home to take her step-mother what she had longed for so much.",joy
"When she went in and said good-evening, a piece of gold at once fell from her mouth.",neutral
"Thereupon she related what had happened to her in the wood, but with every word she spoke, gold pieces fell from her mouth, until very soon the whole room was covered with them.",neutral
"Now look at her arrogance, cried the step-sister, ""to throw about gold in that way!"" but she was secretly envious of it, and wanted to go into the forest also to seek strawberries.",anger
"The mother said, ""No, my dear little daughter, it is too cold, thou mightest die of cold.""",neutral
"However, as her daughter let her have no peace, the mother at last yielded, made her a magnificent dress of fur, which she was obliged to put on, and gave her bread-and-butter and cake with her.",neutral
The girl went into the forest and straight up to the little house.,neutral
"The three little elves peeped out again, but she did not greet them, and without looking round at them and without speaking to them, she went awkwardly into the room, seated herself by the stove, and began to eat her bread-and-butter and cake.",neutral
"Give us some of it, cried the little men; but she replied, ""There is not enough for myself, so how can I give it away to other people?""",neutral
"When she had done eating, they said, ""There is a broom for thee, sweep all clean for us outside by the back-door.""",neutral
"Humph!
51:51	D:N	D:-	Sweep for yourselves, she answered, ""I am not your servant.""",anger
"When she saw that they were not going to give her anything, she went out by the door.",neutral
"Then the little men said to each other, ""What shall we give her as she is so naughty, and has a wicked envious heart, that will never let her do a good turn to any one?""",neutral
"The first said, ""I grant that she may grow uglier every day.""",neutral
"The second said, ""I grant that at every word she says, a toad shall spring out of her mouth.""",neutral
"The third said, ""I grant that she may die a miserable death.""",neutral
"The maiden looked for strawberries outside, but as she found none, she went angrily home.",anger
"And when she opened her mouth, and was about to tell her mother what had happened to her in the wood, with every word she said, a toad sprang out of her mouth, so that every one was seized with horror of her.",fear
"Then the step-mother was still more enraged, and thought of nothing but how to do every possible injury to the man""s daughter, whose beauty, however, grew daily greater.",anger
"At length she took a cauldron, set it on the fire, and boiled yarn in it.",neutral
"When it was boiled, she flung it on the poor girl""s shoulder, and gave her an axe in order that she might go on the frozen river, cut a hole in the ice, and rinse the yarn.",neutral
"She was obedient, went thither and cut a hole in the ice; and while she was in the midst of her cutting, a splendid carriage came driving up, in which sat the King.",neutral
"The carriage stopped, and the King asked,""My child, who are thou, and what art thou doing here?""",neutral
"I am a poor girl, and I am rinsing yarn.",neutral
"Then the King felt compassion, and when he saw that she was so very beautiful, he said to her, ""Wilt thou go away with me?""",neutral
"Ah, yes, with all my heart, she answered, for she was glad to get away from the mother and sister.",joy
"So she got into the carriage and drove away with the King, and when they arrived at his palace, the wedding was celebrated with great pomp, as the little men had granted to the maiden.",neutral
"When a year was over, the young Queen bore a son, and as the step-mother had heard of her great good-fortune, she came with her daughter to the palace and pretended that she wanted to pay her a visit.",neutral
"Once, however, when the King had gone out, and no one else was present, the wicked woman seized the Queen by the head, and her daughter seized her by the feet, and they lifted her out of the bed, and threw her out of the window into the stream which flowed by.",neutral
"Then the ugly daughter laid herself in the bed, and the old woman covered her up over her head.",neutral
"When the King came home again and wanted to speak to his wife, the old woman cried, ""Hush, hush, that can""t be now, she is lying in a violent perspiration; you must let her rest to-day.""",neutral
"The King suspected no evil, and did not come back again till next morning; and as he talked with his wife and she answered him, with every word a toad leaped out, whereas formerly a piece of gold had fallen out.",neutral
"Then he asked what that could be, but the old woman said that she had got that from the violent perspiration, and would soon lose it again.",neutral
"During the night, however, the scullion saw a duck come swimming up the gutter, and it said,",neutral
"King, what art thou doing now?
76:76	N:N	N:N	Sleepest thou, or wakest thou?",neutral
"And as he returned no answer, it said,",neutral
"And my guests, What may they do?",neutral
"The scullion said,",neutral
"They are sleeping soundly, too.",neutral
"Then it asked again,",neutral
What does little baby mine?,neutral
"He answered,",neutral
Sleepeth in her cradle fine.,neutral
"Then she went upstairs in the form of the Queen, nursed the baby, shook up its little bed, covered it over, and then swam away again down the gutter in the shape of a duck.",neutral
"She came thus for two nights; on the third, she said to the scullion, ""Go and tell the King to take his sword and swing it three times over me on the threshold.""",neutral
"Then the scullion ran and told this to the King, who came with his sword and swung it thrice over the spirit, and at the third time, his wife stood before him strong, living, and healthy as she had been before.",neutral
"Thereupon the King was full of great joy, but he kept the Queen hidden in a chamber until the Sunday, when the baby was to be christened.",joy
"And when it was christened he said, ""What does a person deserve who drags another out of bed and throws him in the water?""",neutral
"The wretch deserves nothing better, answered the old woman, ""than to be taken and put in a barrel stuck full of nails, and rolled down hill into the water.""",neutral
"Then, said the King, ""Thou hast pronounced thine own sentence;"" and he ordered such a barrel to be brought, and the old woman to be put into it with her daughter, and then the top was hammered on, and the barrel rolled down hill until it went into the river.",neutral
"Let no one ever say that a poor tailor cannot do great things and win high honors; all that is needed is that he should go to the right smithy, and what is of most consequence, that he should have good luck.",neutral
"A civil, adroit tailor""s apprentice once went out travelling, and came into a great forest, and, as he did not know the way, he lost himself.",neutral
"Night fell, and nothing was left for him to do, but to seek a bed in this painful solitude.",sadness
"He might certainly have found a good bed on the soft moss, but the fear of wild beasts let him have no rest there, and at last he was forced to make up his mind to spend the night in a tree.",fear
"He sought out a high oak, climbed up to the top of it, and thanked God that he had his goose with him, for otherwise the wind which blew over the top of the tree would have carried him away.",neutral
"After he had spent some hours in the darkness, not without fear and trembling, he saw at a very short distance the glimmer of a light, and as he thought that a human habitation might be there, where he would be better off than on the branches of a tree, he got carefully down and went towards the light.",fear
It guided him to a small hut that was woven together of reeds and rushes.,neutral
"He knocked boldly, the door opened, and by the light which came forth he saw a little hoary old man who wore a coat made of bits of colored stuff sewn together.",joy
"Who are you, and what do you want? asked the man in a grumbling voice.",anger
"I am a poor tailor, he answered, ""whom night has surprised here in the wilderness, and I earnestly beg you to take me into your hut until morning.""",surprise
"Go your way, replied the old man in a surly voice, ""I will have nothing to do with runagates; seek for yourself a shelter elsewhere.""",anger
